id;name;producer;nation;local1;varieties1;type;abv;degree;price;year;ml
142723;Carmen, Insigne Sauvignon Blanc;Vina Carmen;Chile;Central Valley;Sauvignon blanc;White;13~14;10~12;0;2017;750
142727;Carmen Wine Maker's Reserve Chardonnay;Vina Carmen;Chile;Aconcagua;Chardonnay;White;12.8;10~12;0;2007;750
142728;Carmen, Wine Maker's Reserve Red;Vina Carmen;Chile;Maipo Valley;Cabernet Sauvignon;Red;14~15;16~18;0;2013;750
142729;Gold Vine;Widmers;USA;California;Blend;Red;;;0;0;750
142732;Zonin, Barbera d'Asti;Zonin;Italy;Piemonte;Barbera;Red;13.5;16~18;0;2012;750
142735;Zonin, Castello d'Albola Chianti Classico;Zonin;Italy;Toscana;Sangiovese;Red;12~13;16~18;0;2017;750
142736;Zonin, Castello d'Albola Chianti Classico Reserva;Zonin;Italy;Toscana;Sangiovese Grosso;Red;12.5~13.5;16~18;0;2017;750
142737;Zonin, Chianti;Zonin;Italy;Toscana;Sangiovese;Red;12~13;16~18;0;2016;750
142738;Zonin Chianti Classico Albola;Zonin;Italy;Toscana;Sangiovese;Red;13;16~18;0;2011;750
142739;Zonin, Soave Classico;Zonin;Italy;Veneto;Garganega;White;11.5~12.5;10~12;0;2017;750
142741;Zonin Valpolicella Classico;Zonin;Italy;Veneto;Corvina;Red;11.5~12.5;16~18;0;2017;750
142742;Zonin, Asti;Zonin;Italy;Piemonte;Moscato;Sparkling;7~8;6~8;0;0;750
142746;Castello di Volpaia, Balifico;Castello di Volpaia;Italy;Toscana;Cabernet Sauvignon;Red;13.5;16~18;948,7;2003;750
142747;Castello di Volpaia, Bianco di Volpaia;Castello di Volpaia;Italy;Toscana;Trebbiano;White;12.5;10~12;238,5;2005;750
142748;Castello di Volpaia, Chianti Classico;Castello di Volpaia;Italy;Toscana;Sangiovese;Red;14;16~18;0;2018;750
142749;Castello di Volpaia, Chianti Classico Reserva;Castello di Volpaia;Italy;Toscana;Sangiovese;Red;14;16~18;0;2017;750
142750;Castello Di Volpaia, Vinsanto del Chianti Classico;Castello di Volpaia;Italy;Toscana;Trebbiano;White;16.5;6~8;429,3;2000;375
142751;Cattier, Premieur Cru Brut;Cattier;France;Champagne;Chardonnay;Sparkling;12;6~8;657,2;0;750
142754;Chateau Larose Trintaudon;Chateau Larose Trintaudon;France;Bordeaux;Cabernet Sauvignon;Red;13;16~18;424;2009;750
142755;Chateau Lassegue;Chateau Lassegue;France;Bordeaux;Merlot;Red;13~14;16~18;0;2010;750
142756;Chateau Peyrabon;Chateau Peyrabon;France;Bordeaux;Cabernet Sauvignon;Red;13;16~18;365,7;2006;750
142757;Chateau Suduiraut;Chateau Suduiraut 1st Cru Classe  Sauternes;France;Bordeaux;Semillon;White;14;10~12;689;2017;750
142760;Estancia, Cabernet Sauvignon;Estancia Winery  Vineyards;USA;California;Cabernet Sauvignon;Red;13~14;16~18;0;2004;750
142762;Estancia, Merlot;Estancia Winery  Vineyards;USA;California;Merlot;Red;13~14;16~18;0;2004;750
142763;Estancia, Pinot Noir;Estancia Winery  Vineyards;USA;California;Pinot Noir;Red;13~14;15~17;0;2003;750
142764;Las Moras Cabernet Sauvignon Shiraz Reserve;Finca Las Moras;Argentina;San Juan;Cabernet Sauvignon;Red;13.5;16~18;169,6;2005;750
142765;Las Moras Chardonnay;Finca Las Moras;Argentina;San Juan;Chardonnay;White;13;10~12;106;2006;750
142766;Las Moras Chardonnay Reserve;Finca Las Moras;Argentina;San Juan;Chardonnay;White;13.6;10~12;169,6;2006;750
142767;Las Moras Malbec;Finca Las Moras;Argentina;San Juan;Malbec;Red;13.5;16~18;0;2017;750
142768;Las Moras Malbec Reserve;Finca Las Moras;Argentina;San Juan;Malbec;Red;14;16~18;169,6;2008;750
142769;Marquis de Chasse Bordeaux;Maison Ginestet;France;Bordeaux;Merlot;Red;12;16~18;148,4;2007;750
142770;Marquis de Chasse Cabernet Sauvignon;Maison Ginestet;France;Bordeaux;Cabernet Sauvignon;Red;13;16~18;26,5;0;187
